 -- OPENED at Wed, 11 Sep 2019 18:35:32 GMT Wallet: andreas
Block 594382 (Wed, 11 Sep 2019 18:30:45 GMT) TXs: 0 Balance: 0
Block 235300 (Thu, 09 May 2013 11:36:34 GMT) TXs: 0 Balance: 0
Block 238952 (Sat, 01 Jun 2013 00:05:26 GMT) TXs: 2 Balance: 15.05
Block 244160 (Mon, 01 Jul 2013 00:02:11 GMT) TXs: 5 Balance: 0
Block 249525 (Thu, 01 Aug 2013 00:06:59 GMT) TXs: 7 Balance: 0
Block 255362 (Sun, 01 Sep 2013 00:00:58 GMT) TXs: 9 Balance: 0.10005311
Block 260989 (Tue, 01 Oct 2013 00:07:44 GMT) TXs: 17 Balance: 0.5656335
Block 267188 (Fri, 01 Nov 2013 00:02:47 GMT) TXs: 22 Balance: 1.0431836
Block 272375 (Sun, 01 Dec 2013 00:45:36 GMT) TXs: 28 Balance: 0.0585
Block 272376 (Sat, 30 Nov 2013 23:25:57 GMT) TXs: 28 Balance: 0.0585
Block 272381 (Sun, 01 Dec 2013 01:45:02 GMT) TXs: 28 Balance: 0.0585
Block 277996 (Wed, 01 Jan 2014 00:11:09 GMT) TXs: 34 Balance: 0.01
Block 283468 (Sat, 01 Feb 2014 00:05:46 GMT) TXs: 69 Balance: 0.30723543
Block 288370 (Sat, 01 Mar 2014 00:01:11 GMT) TXs: 120 Balance: 1.40162366
Block 293483 (Tue, 01 Apr 2014 00:02:43 GMT) TXs: 145 Balance: 0.07109935
Block 298513 (Thu, 01 May 2014 00:06:41 GMT) TXs: 172 Balance: 0.69157769
Block 303552 (Sun, 01 Jun 2014 00:03:00 GMT) TXs: 193 Balance: 0.03002502
Block 308672 (Tue, 01 Jul 2014 00:11:23 GMT) TXs: 206 Balance: 0.19354784
Block 313404 (Fri, 01 Aug 2014 00:15:20 GMT) TXs: 209 Balance: 0.004
Block 318531 (Mon, 01 Sep 2014 00:01:52 GMT) TXs: 216 Balance: 0.146893
Block 323269 (Wed, 01 Oct 2014 00:03:40 GMT) TXs: 221 Balance: 0.175803
Block 327939 (Sat, 01 Nov 2014 00:03:11 GMT) TXs: 252 Balance: 0.0587635
Block 332363 (Mon, 01 Dec 2014 00:01:45 GMT) TXs: 262 Balance: 0.18037054
Block 336861 (Thu, 01 Jan 2015 00:02:52 GMT) TXs: 272 Balance: 0.25454269
Block 341392 (Sun, 01 Feb 2015 00:08:35 GMT) TXs: 283 Balance: 0.17533911
Block 345611 (Sun, 01 Mar 2015 00:02:24 GMT) TXs: 287 Balance: 0.3830673
Block 350162 (Wed, 01 Apr 2015 00:11:22 GMT) TXs: 293 Balance: 1.13902289
Block 354416 (Fri, 01 May 2015 00:03:56 GMT) TXs: 297 Balance: 1.1777517
Block 358881 (Mon, 01 Jun 2015 00:02:42 GMT) TXs: 302 Balance: 1.29911675
Block 363263 (Wed, 01 Jul 2015 00:01:10 GMT) TXs: 302 Balance: 1.29911675
Block 367846 (Sat, 01 Aug 2015 00:03:10 GMT) TXs: 308 Balance: 1.41217803
Block 372441 (Tue, 01 Sep 2015 00:01:37 GMT) TXs: 312 Balance: 1.77373427
Block 376910 (Thu, 01 Oct 2015 00:00:10 GMT) TXs: 317 Balance: 1.93833398
Block 381470 (Sun, 01 Nov 2015 00:12:00 GMT) TXs: 322 Balance: 1.97138598
